"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Football-Samba-Indoor-Football-Shoes-Unisex-Black-IH6000-i.270510657.26518092748?extraParams=%7B%22display_model_id%22%3A129144725576%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk7-maur9cezqpx0a2","adidas Football Samba Indoor Football Shoes Unisex Black IH6000","1.710.000","4.9","Pilih 2, diskon 15%","-10%","290 terjual"
"https://shopee.co.id/adidas-Football-Manchester-United-25-26-Home-Jersey-Unisex-Red-JP3013-i.270510657.52002871759?extraParams=%7B%22display_model_id%22%3A390276705346%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822xl-mi2tyc8s9urmd8","adidas Football Manchester United 25/26 Home Jersey Unisex Red JP3013","760.000","5.0","Pilih 2, diskon 15%","-20%","6 terjual"
"https://shopee.co.id/adidas-Football-Predator-League-Fold-Over-Tongue-Firm-Multi-Ground-Boots-Unisex-Orange-JI1112-i.270510657.43767399731?extraParams=%7B%22display_model_id%22%3A261435344339%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824gj-me84e3wxqtc307","adidas Football Predator League Fold-Over Tongue Firm/Multi-Ground Boots Unisex Orange JI1112","1.500.000","4.9","38 terjual","",""
"https://shopee.co.id/adidas-Football-FIFA-World-Cup-26%E2%84%A2-Trionda-Training-Ball-Unisex-White-JD8032-i.270510657.42322720696?extraParams=%7B%22display_model_id%22%3A291845459840%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825b1-mg5tzpfhiuix8a","adidas Football FIFA World Cup 26™ Trionda Training Ball Unisex White JD8032","400.000","5.0","99 terjual","",""
"https://shopee.co.id/adidas-Football-Arsenal-25-26-Home-Shorts-Unisex-White-JI9528-i.270510657.43265252580?extraParams=%7B%22display_model_id%22%3A296260489235%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824jk-mdwqfb85hb7q59","adidas Football Arsenal 25/26 Home Shorts Unisex White JI9528","440.000","4.9 Penilaian Toko","Pilih 2, diskon 15%","-20%",""
"https://shopee.co.id/adidas-Football-Manchester-United-25-26-Home-Shorts-Men-White-JI7430-i.270510657.41565262411?extraParams=%7B%22display_model_id%22%3A253800494645%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824hs-mdwtfvvpdpmq3a","adidas Football Manchester United 25/26 Home Shorts Men White JI7430","480.000","4.4","Pilih 2, diskon 15%","-20%","13 terjual"
"https://shopee.co.id/adidas-Football-Predator-Club-Indoor-Sala-Boots-Unisex-White-JH8855-i.270510657.43865239610?extraParams=%7B%22display_model_id%22%3A128399327462%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824i0-mdwq935q9vyaae","adidas Football Predator Club Indoor Sala Boots Unisex White JH8855","810.000","4.9 Penilaian Toko","Pilih 2, diskon 15%","-10%",""
"https://shopee.co.id/adidas-Football-Manchester-United-25-26-Home-Shorts-Unisex-White-JP3017-i.270510657.41315248786?extraParams=%7B%22display_model_id%22%3A266261254066%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824h6-mdwrmydnkiyp6b","adidas Football Manchester United 25/26 Home Shorts Unisex White JP3017","440.000","5.0","Pilih 2, diskon 15%","-20%","4 terjual"
"https://shopee.co.id/adidas-Football-Entrada-22-Jersey-Men-Black-HE1573-i.270510657.28018088180?extraParams=%7B%22display_model_id%22%3A233481625500%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk6-mauqt7xr7au1de","adidas Football Entrada 22 Jersey Men Black HE1573","227.500","4.9","Pilih 2, diskon 15%","-35%","141 terjual"
"https://shopee.co.id/adidas-Football-Predator-League-Fold-Over-Tongue-Firm-Multi-Ground-Boots-Unisex-White-JI1111-i.270510657.42915261343?extraParams=%7B%22display_model_id%22%3A261261421662%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824jk-mdwse8qzmzgjc9","adidas Football Predator League Fold-Over Tongue Firm/Multi-Ground Boots Unisex White JI1111","1.350.000","4.9","Pilih 2, diskon 15%","-10%","92 terjual"
