"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Lifestyle-SEERSUCKER-DAD-CAP-Unisex-White-JZ1046-i.270510657.44850079728?extraParams=%7B%22display_model_id%22%3A262086322410%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825b9-mg77qfibbea426","adidas Lifestyle SEERSUCKER DAD CAP Unisex White JZ1046","360.000","4.7","Pilih 2, diskon 15%","-20%","17 terjual"
"https://shopee.co.id/adidas-Lifestyle-Kids-Linear-Backpack-Unisex-Black-KC3138-i.270510657.29693707079?extraParams=%7B%22display_model_id%22%3A435222371231%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82613-mm7e7hsdqu4va5","adidas Lifestyle Kids Linear Backpack Unisex Black KC3138","350.000","5.0","167 terjual","",""
"https://shopee.co.id/adidas-Running-adidas-by-Stella-McCartney-Cap-Women-Black-IP0394-i.270510657.27168090510?extraParams=%7B%22display_model_id%22%3A197989228519%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxy-mcmrccoj9qrbe8","adidas Running adidas by Stella McCartney Cap Women Black IP0394","900.000","4.9 Penilaian Toko","3 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-COTTON-BASEBALL-CAP-Unisex-Purple-H34474-i.270510657.40001207653?extraParams=%7B%22display_model_id%22%3A167181637289%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbkc-maupwgt0oj4p07","adidas Lifestyle COTTON BASEBALL CAP Unisex Purple H34474","300.000","4.9","325 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Linear-Ankle-Cushioned-Socks-3-Pairs-Unisex-White-HT3457-i.270510657.27568085254?extraParams=%7B%22display_model_id%22%3A207989181570%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk4-mauqxxx8g84k14","adidas Lifestyle Linear Ankle Cushioned Socks 3 Pairs Unisex White HT3457","200.000","4.9","329 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Cap-Kids-Unisex-Black-JD1328-i.270510657.49950337968?extraParams=%7B%22display_model_id%22%3A430030106875%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8259h-mgee5i5q4cum0a","adidas Lifestyle Cap Kids Unisex Black JD1328","430.000","4.9 Penilaian Toko","2 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Thin-Linear-Low-Cut-Socks-3-Pairs-Unisex-White-HT3447-i.270510657.29868090464?extraParams=%7B%22display_model_id%22%3A29854865372%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821dj-mh2mj5g269l7aa","adidas Lifestyle Thin Linear Low-Cut Socks 3 Pairs Unisex White HT3447","200.000","5.0","19 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Linear-Crew-Cushioned-Socks-3-Pairs-Unisex-White-HT3455-i.270510657.26118085401?extraParams=%7B%22display_model_id%22%3A233481123342%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824i4-mf1wuj1odhxk42","adidas Lifestyle Linear Crew Cushioned Socks 3 Pairs Unisex White HT3455","250.000","4.9","173 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Thin-and-Light-Ankle-Socks-3-Pairs-Unisex-White-HT3468-i.270510657.28818096482?extraParams=%7B%22display_model_id%22%3A109324476170%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk5-mauqk2zuj35g6a","adidas Lifestyle Thin and Light Ankle Socks 3 Pairs Unisex White HT3468","180.000","4.9","392 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Road-Cap-Unisex-Black-IW8629-i.270510657.29468085925?extraParams=%7B%22display_model_id%22%3A217989234056%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk6-mauq2m44tkwu54","adidas Lifestyle Road Cap Unisex Black IW8629","400.000","5.0","8 terjual","",""
"https://shopee.co.id/adidas-Hiking-Terrex-Climacool-5-Panel-Graphic-Cap-Unisex-White-JJ1478-i.270510657.42201556533?extraParams=%7B%22display_model_id%22%3A168936034284%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8258u-mgfuavx325n138","adidas Hiking Terrex Climacool 5-Panel Graphic Cap Unisex White JJ1478","450.000","5.0","14 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Classic-Badge-of-Sport-Backpack-Unisex-Black-HG0349-i.270510657.26468092142?extraParams=%7B%22display_model_id%22%3A247063315953%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbkd-maura29lvh5l72","adidas Lifestyle Classic Badge of Sport Backpack Unisex Black HG0349","320.000","4.9","Pilih 2, diskon 15%","-20%","2RB+ terjual"
"https://shopee.co.id/adidas-Lifestyle-Cap-Unisex-Black-JC6058-i.270510657.43315223043?extraParams=%7B%22display_model_id%22%3A286258723596%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824ga-mdwkcj4s0we832","adidas Lifestyle Cap Unisex Black JC6058","384.000","5.0","Pilih 2, diskon 15%","-20%","7 terjual"
"https://shopee.co.id/adidas-Lifestyle-COTTON-BASEBALL-CAP-Unisex-Grey-HD7234-i.270510657.26318083627?extraParams=%7B%22display_model_id%22%3A252063042785%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbkd-maurbzwhyyam83","adidas Lifestyle COTTON BASEBALL CAP Unisex Grey HD7234","240.000","4.9","Pilih 2, diskon 15%","-20%","376 terjual"
"https://shopee.co.id/adidas-Lifestyle-Adicolor-Classic-Trefoil-Baseball-Cap-Unisex-White-JC6025-i.270510657.42351193034?extraParams=%7B%22display_model_id%22%3A270096259803%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821da-mh9rj0jvanew13","adidas Lifestyle Adicolor Classic Trefoil Baseball Cap Unisex White JC6025","400.000","5.0","53 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Camo-Backpack-Unisex-Black-IX6824-i.270510657.27637131334?extraParams=%7B%22display_model_id%22%3A290239110747%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvj-mcmhcmnq3kxj35","adidas Lifestyle Camo Backpack Unisex Black IX6824","600.000","5.0","109 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-New-Logo-Embroidered-Baseball-Cap-Unisex-White-JN6590-i.270510657.44015238622?extraParams=%7B%22display_model_id%22%3A218665750890%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824gv-mdwp7cq3qmma13","adidas Lifestyle New Logo Embroidered Baseball Cap Unisex White JN6590","300.000","4.8","75 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Sportswear-Classic-Bucket-Hat-Unisex-Black-JG3662-i.270510657.42101206726?extraParams=%7B%22display_model_id%22%3A243428445947%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdwx-mcmsreebzuqc10","adidas Lifestyle Sportswear Classic Bucket Hat Unisex Black JG3662","360.000","5.0","Pilih 2, diskon 15%","-20%","2 terjual"
"https://shopee.co.id/adidas-Lifestyle-Classic-Foundation-Backpack-Unisex-Green-HR5341-i.270510657.44301188262?extraParams=%7B%22display_model_id%22%3A290095087556%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82622-mm7g3diqonph36","adidas Lifestyle Classic Foundation Backpack Unisex Green HR5341","300.000","4.9","1RB+ terjual","",""
"https://shopee.co.id/adidas-Lifestyle-4ATHLTS-Camper-Backpack-Unisex-Green-IL5748-i.270510657.26336654854?extraParams=%7B%22display_model_id%22%3A178933206910%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk9-maurbn5urqxq61","adidas Lifestyle 4ATHLTS Camper Backpack Unisex Green IL5748","560.000","5.0","Pilih 2, diskon 15%","-30%","1RB+ terjual"
